acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),,005_o_f_d_a.png,O,space,5833,1,1,,,7037,VNB,B,0
1,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),118687.29999999981,020_y_f_n_a.png,O,m,1515,2,1,2391.2000000001863,116296.09999999963,7037,VNB,B,1
1,prac,1,0.0,1-Back,0,m,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),121586.20000000019,007_m_m_h_a.png,O,None,2009,3,1,2892.0,118694.20000000019,7037,VNB,B,2
2,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),122486.0,016_y_m_d_a.png,O,m,0,4,1,894.2999999998137,121591.70000000019,7037,VNB,B,3
2,prac,1,0.0,1-Back,0,m,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),125368.39999999944,005_o_f_n_a.png,O,None,2002,5,1,2877.0999999996275,122491.29999999981,7037,VNB,B,4
2,prac,1,1.0,1-Back,0,z,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),128267.5,016_y_m_n_a.png,O,None,2010,6,1,2893.5,125374.0,7037,VNB,B,5
2,prac,1,0.0,1-Back,0,m,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),131133.09999999963,004_o_m_h_a.png,O,None,2004,7,1,2860.0,128273.09999999963,7037,VNB,B,6
2,prac,1,0.0,1-Back,0,m,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),134015.89999999944,011_m_f_d_a.png,O,None,2002,8,1,2877.399999999441,131138.5,7037,VNB,B,7
2,prac,1,1.0,1-Back,0,z,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),136898.2000000002,020_y_f_d_a.png,O,None,2013,9,1,2875.7000000001863,134022.5,7037,VNB,B,8
2,prac,1,0.0,1-Back,0,m,Fri Jan 17 2025 16:06:45 GMT-0600 (Central Standard Time),139797.2999999998,007_m_m_n_a.png,O,None,2011,10,1,2892.7000000001863,136904.59999999963,7037,VNB,B,9
