Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,0,prac,1,A,circle.png,0,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),64019.5,1000,I,None,1515,1,1,3293.3000000000466,60726.19999999995,8007,NTS,C,1
2,0,prac,1,A,circle.png,0,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),68318.30000000005,2000,I,None,1516,2,1,4292.90000000014,64025.39999999991,8007,NTS,C,2
6,1,prac,1,A,circle.png,1,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),72334.0,1900,I,m,1327,5,1,4010.3000000000466,68323.69999999995,8007,NTS,C,3
9,2,prac,1,A,circle.png,1,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),75632.6000000001,1500,I,m,999,8,1,3292.8000000000466,72339.80000000005,8007,NTS,C,4
4,3,prac,1,A,circle.png,1,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),78681.80000000005,1400,I,z,856,4,1,3043.8000000000466,75638.0,8007,NTS,C,5
7,4,prac,1,A,circle.png,1,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),82364.0,1700,I,m,1186,6,1,3676.6999999999534,78687.30000000005,8007,NTS,C,6
4,5,prac,1,A,circle.png,1,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),85346.6000000001,1400,I,z,789,4,1,2977.100000000093,82369.5,8007,NTS,C,7
1,6,prac,1,A,circle.png,1,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),88028.80000000005,1000,I,z,895,1,1,2677.600000000093,85351.19999999995,8007,NTS,C,8
3,7,prac,1,A,circle.png,1,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),90794.69999999995,1200,I,z,780,3,1,2760.6999999999534,88034.0,8007,NTS,C,9
8,8,prac,1,A,circle.png,1,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),94028.0,1600,I,m,839,7,1,3227.6999999999534,90800.30000000005,8007,NTS,C,10
9,9,prac,1,A,circle.png,1,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),97159.30000000005,1500,I,m,842,8,1,3125.8000000000466,94033.5,8007,NTS,C,11
3,10,prac,1,A,circle.png,1,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),99908.5,1200,I,z,762,3,1,2744.1999999999534,97164.30000000005,8007,NTS,C,12
9,0,prac,1,B,triangle.png,0,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),136730.0,1400,I,None,1516,8,1,3694.399999999907,133035.6000000001,8007,NTS,C,1
6,0,prac,1,B,triangle.png,0,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),140029.30000000005,1000,I,None,1517,5,1,3294.0,136735.30000000005,8007,NTS,C,2
3,0,prac,1,B,triangle.png,0,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),143927.8999999999,1600,I,None,1515,3,1,3893.6999999999534,140034.19999999995,8007,NTS,C,3
4,0,prac,1,B,triangle.png,0,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),147726.69999999995,1500,I,None,1515,4,1,3793.8000000000466,143932.8999999999,8007,NTS,C,4
7,0,prac,1,B,triangle.png,0,z,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),151409.80000000005,2000,I,m,899,6,1,3677.600000000093,147732.19999999995,8007,NTS,C,5
4,1,prac,1,B,triangle.png,1,m,Wed Sep 18 2024 16:55:37 GMT-0500 (Central Daylight Time),154874.3999999999,1500,I,m,1181,4,1,3459.2999999998137,151415.1000000001,8007,NTS,C,6
