Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,0,prac,1,0,z,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),120323.40000009537,O,None,2015,1,1,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,10807.799999952316,109515.60000014305,7094,yes,SM,B,16.bmp,-120,-120,113320,107296,115322,109307,,,,,1
3,0,0,1,0,0,prac,1,0,m,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),131137.0,O,None,2016,2,1,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10808.5,120328.5,7094,no,SM,B,23.bmp,-120,120,124121,118109,126134,120120,,,,,2
4,0,0,0,1,0,prac,1,0,m,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),141967.0,O,None,2016,3,1,24.bmp,-120,-120,25.bmp,120,-120,26.bmp,-120,120,27.bmp,120,120,10825.099999904633,131141.90000009537,7094,no,SM,B,24.bmp,120,120,134949,128922,136965,130933,,,,,3
2,0,1,0,0,0,prac,1,0,z,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),152363.60000014305,O,m,1572,4,1,28.bmp,-120,-120,29.bmp,120,-120,30.bmp,-120,120,31.bmp,120,120,10391.200000047684,141972.40000009537,7094,yes,SM,B,29.bmp,120,-120,145779,139753,147795,141764,,,,,4
3,0,0,1,0,1,prac,1,1,z,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),162609.30000019073,O,z,1433,5,1,32.bmp,-120,-120,33.bmp,120,-120,34.bmp,-120,120,35.bmp,120,120,10241.0,152368.30000019073,7094,yes,SM,B,34.bmp,-120,120,156173,150149,158192,152161,,,,,5
1,1,0,0,0,2,prac,1,1,m,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),173256.30000019073,O,m,1824,6,1,36.bmp,-120,-120,37.bmp,120,-120,38.bmp,-120,120,39.bmp,120,120,10641.400000095367,162614.90000009537,7094,no,SM,B,39.bmp,-120,-120,166423,160395,168439,162407,,,,,6
2,0,1,0,0,3,prac,1,1,m,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),183187.80000019073,O,m,1114,7,1,40.bmp,-120,-120,41.bmp,120,-120,42.bmp,-120,120,43.bmp,120,120,9927.600000143051,173260.20000004768,7094,no,SM,B,40.bmp,120,-120,177069,171040,179085,173054,,,,,7
4,0,0,0,1,3,prac,1,0,z,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),194016.60000014305,O,None,2014,8,1,44.bmp,-120,-120,45.bmp,120,-120,46.bmp,-120,120,47.bmp,120,120,10823.900000095367,183192.70000004768,7094,yes,SM,B,47.bmp,120,120,186999,180973,189016,182985,,,,,8
1,1,0,0,0,1,prac,2,1,z,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),206729.20000004768,O,z,1850,1,1,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,10675.099999904633,196054.10000014305,7094,yes,SM,B,16.bmp,-120,-120,199861,193834,201878,195847,,,,,1
3,0,0,1,0,2,prac,2,1,m,Wed Mar 26 2025 10:30:06 GMT-0500 (Central Daylight Time),217009.40000009537,O,m,1447,2,1,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10275.400000095367,206734.0,7094,no,SM,B,23.bmp,-120,120,210541,204514,212559,206526,,,,,2
