Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),153819.80000019073,I,z,1012,1,2,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,9825.900000095367,143993.90000009537,9005,yes,SM,C,66.bmp,-120,-120,146912,140886,148930,142896,,,,,1
3,0,0,1,0,1,prac,1,0,m,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),163769.80000019073,I,z,1131,2,2,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,9941.900000095367,153827.90000009537,9005,no,SM,C,73.bmp,-120,120,156745,150720,158763,152729,,,,,2
4,0,0,0,1,2,prac,1,1,m,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),173952.80000019073,I,m,1357,3,2,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10173.099999904633,163779.7000002861,9005,no,SM,C,74.bmp,120,120,166695,160672,168713,162679,,,,,3
2,0,1,0,0,3,prac,1,1,z,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),184319.80000019073,I,z,1542,4,2,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10358.099999904633,173961.7000002861,9005,yes,SM,C,79.bmp,120,-120,176878,170854,178896,172862,,,,,4
3,0,0,1,0,4,prac,1,1,z,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),194153.10000038147,I,z,1015,5,2,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,9825.800000190735,184327.30000019073,9005,yes,SM,C,84.bmp,-120,120,187245,181220,189263,183229,,,,,5
1,1,0,0,0,5,prac,1,1,m,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),204419.5,I,m,1438,6,2,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10256.299999713898,194163.2000002861,9005,no,SM,C,89.bmp,-120,-120,197078,191056,199096,193062,,,,,6
2,0,1,0,0,6,prac,1,1,m,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),214736.30000019073,I,m,1491,7,2,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10309.800000190735,204426.5,9005,no,SM,C,90.bmp,120,-120,207345,201319,209363,203329,,,,,7
4,0,0,0,1,6,prac,1,0,z,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),224852.80000019073,I,m,1287,8,2,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10108.599999904633,214744.2000002861,9005,yes,SM,C,97.bmp,120,120,217662,211636,219679,213646,,,,,8
4,0,0,0,1,1,test,1,1,m,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),257202.90000009537,I,m,1073,1,2,98.bmp,-120,-120,99.bmp,120,-120,100.bmp,-120,120,93.bmp,120,120,9127.299999713898,248075.60000038147,9005,yes,SM,C,100.bmp,120,120,217662,211636,219679,213646,250995.0,244968.0,253013.0,246979.0,1
2,0,1,0,0,2,test,1,1,m,Wed Mar 26 2025 11:55:46 GMT-0400 (Eastern Daylight Time),266235.7000002861,I,m,979,2,2,51.bmp,-120,-120,52.bmp,120,-120,53.bmp,-120,120,54.bmp,120,120,9024.700000286102,257211.0,9005,yes,SM,C,53.bmp,120,-120,217662,211636,219679,213646,260128.0,254103.0,262146.0,256112.0,2
